genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Fbxo30,14.53876464,-3.9222482,1.169229132,-3.354559078,0.000794916,NA
Card11,38.32271059,-5.173899579,1.54873141,-3.340733937,0.000835573,0.093562508
Slc39a6,114.1300706,4.58074922,1.373189048,3.335847475,0.000850398,0.093562508
Siva1,199.7252944,-4.353847557,1.305750455,-3.33436419,0.000854946,0.093562508
Trip6,63.60936309,4.961667622,1.48851608,3.333297966,0.00085823,0.093562508
Gm9703,79.61040975,-4.006636577,1.205380705,-3.323959442,0.000887491,0.09588865
Idua,35.37834124,3.63950563,1.097000318,3.317688764,0.000907656,0.096604431
Gmppb,245.6484581,3.909001021,1.17849513,3.316942872,0.000910082,0.096604431
Abhd4,30.81572467,-4.376668672,1.321511696,-3.311865257,0.000926762,0.097519508
Nbeal2,20.8985987,4.244008627,1.28448054,3.304066113,0.000952934,0.099409044
Mrm1,40.75267236,5.570726876,1.688983661,3.29827162,0.00097282,0.099828246
Dapk2,114.0368029,-3.393533879,1.02902768,-3.297806216,0.000974434,0.099828246
Cenpx,37.30686379,5.68280213,1.727978208,3.288700114,0.001006512,0.099828246
Orai3,88.57836456,3.317672465,1.009046431,3.287928449,0.001009275,0.099828246
Gm46103,29.27998683,4.153958346,1.263493314,3.287677346,0.001010175,0.099828246
C4b,203.8276698,-3.624137265,1.105098575,-3.279469674,0.001040024,0.099828246
Dydc2,33.12266881,4.825346367,1.471587765,3.279006853,0.001041731,0.099828246
Zfp719,175.3884525,3.455067014,1.055162425,3.274440914,0.001058713,0.099828246
Gm6763,20.43859971,-3.595919089,1.098430439,-3.273688493,0.001061536,0.099828246
Gm8764,20.43859971,-3.595919089,1.098430439,-3.273688493,0.001061536,0.099828246
Mospd2,44.61010537,-3.350381665,1.023642141,-3.273000916,0.001064121,0.099828246
Ccdc88a,39.11503456,-3.099014724,0.947606081,-3.270361794,0.0010741,0.099828246
Cyb561,737.8310518,3.209155754,0.981736153,3.268857672,0.001079826,0.099828246
Slc39a11,38.23314358,4.0005292,1.224038499,3.268303411,0.001081943,0.099828246
Irf7,41.88954425,4.60360792,1.409263218,3.266677126,0.001088177,0.099828246
Fahd2a,181.9463241,2.154575045,0.659602028,3.26647729,0.001088945,0.099828246
Spdef,110.6474872,3.262359494,1.000199004,3.261710401,0.001107422,0.100060386
Cyb561d2,65.80320245,3.560780108,1.091741869,3.261558624,0.001108015,0.100060386
Ercc1,94.92356446,2.95306598,0.906847295,3.256409315,0.00112831,0.101138335
Tsen34,22.0735251,3.530584409,1.089240863,3.241325707,0.001189752,0.105631006
Setx,26.2386207,3.540013,1.092936804,3.238991484,0.001199532,0.105631006
Zfp39,58.68729803,-4.796004523,1.482231928,-3.235664022,0.001213601,0.105631006
Stim2,19.70741235,2.951024815,0.912556405,3.233799902,0.00122155,0.105631006
Cers2,26.08655496,3.802148203,1.17579716,3.233676975,0.001222076,0.105631006
Shisa5,225.1616654,1.720981884,0.532805259,3.230039224,0.001237732,0.106225527
Rnf141,69.92343467,-2.574988386,0.797943578,-3.227030652,0.001250821,0.106592818
Med9,39.27637056,5.034933835,1.565025723,3.217157239,0.001294676,0.10955858
Cox19,155.4537619,3.460857682,1.079274793,3.206651082,0.001342898,0.111968628
