"";"PC1";"PC2";"PC3";"PC4";"PC5";"PC6";"PC7";"PC8";"PC9";"PC10";"PC11";"PC12";"PC13";"PC14";"PC15";"PC16"
"U2af1";0,0181968926386719;-0,0353263152251843;-0,00330928962648907;0,0176866563094666;-0,0788714621880162;0,0527385594381971;-0,0457073355802817;-0,0820122875794307;0,0837524396001894;-0,0491082808810376;0,0835853676077635;-0,120294908465597;-0,142923744650113;0,0325513349711364;-0,0590095752575019;-0,170736335538787
"Gm28438";0,0198944640041086;-0,00469803354849331;-0,0385815001797466;0,00801977123774649;-0,0731216693972548;-0,160439603977512;-0,00619539482170948;0,000389767104177742;-0,0705057078136391;-0,0251192985888645;-0,0455079741705783;0,0114525545481259;0,0268670901184919;0,0566668099363719;0,267857794229044;0,264575453011417
"Nprl2";-0,0352577176840084;-0,0502579833853547;0,0618994895719046;0,0630296013430861;-0,0352467205114427;-0,00853677240856713;-0,00247497465036672;0,0260620484647659;0,0599141974231199;-0,0370526965576412;-0,0754362911317413;0,00294485830887058;-0,0264095675116152;0,0267426061580688;-0,0809984999608904;0,0902817290783856
"Il18r1";0,0462702971615723;0,234657433928276;-0,0141623072524058;-0,0175687694769476;0,131191329339878;0,055403962000174;-0,307641377508187;0,15048278567756;-0,0475002842193939;-0,126614501515143;-0,0540944814448364;0,00636586648869262;0,0927773230160753;0,059927585375812;0,033376644931481;0,0882958530235889
"Cox10";0,00953957031755948;0,00274107149364331;0,0472609351405824;-0,0212775741570284;-0,0590834897383684;-0,0637227117447946;-0,00971361633524869;0,0515504683695299;-0,00118203563970716;0,0331584670418088;-0,142450415870063;-0,0318043527069717;-0,0779261308762678;-0,0119168940153655;-0,0329545379761442;0,0515705697943881
"Eefsec";-0,0166612219466458;-0,0364269019399441;0,0486218041411105;-0,00262847889212574;0,0491566980059877;0,0286487074398426;0,0152449476826559;0,0422994254130193;-0,0119999586638813;-0,0283013585351175;-0,0136250043346585;0,0207595949384144;-0,046386757763855;-0,00869847374018588;-0,119746887182301;-0,0204585700836444
"Cdkl1";-0,326591654350798;-0,0262249651175257;-0,132444279450343;-0,00853627837057743;-0,0146566011654896;0,268420948520367;-0,0830340824846125;0,0770726657871578;0,179953876627374;-0,0781995340064656;-0,109285798049278;-0,0351534323396179;0,0773670795261347;-0,0376765686730477;0,127002357173368;0,032335212147399
"Gm9795";0,0477795137338662;-0,0413951512764857;0,159641027224508;-0,0321311866284431;-0,137855255788794;-0,0325460223282704;0,00743725200511275;-0,0615900501172703;0,120263558961677;0,0590993327876508;-0,033897722074435;0,242779556606944;-0,104419338585714;-0,215646198033969;0,0427399808242999;-0,0303214048386211
"Bex1";-0,0587416783208907;-0,220914652289086;0,14399945790043;-0,143551409787052;-0,0462624684489029;0,213625757465762;-0,279821045583593;-0,260593744467736;-0,234118426974827;0,0941576407741029;0,0585693651790346;0,182090980979095;0,17548304836798;-0,130936849697776;-0,0583567119061772;0,149913752178188
"Fam20a";-0,0189481298410286;0,0906122887635872;-0,0985689305944842;-0,122825638760344;-0,108542948139771;0,111599436018155;-0,0328237430555045;0,00329844230111404;-0,0724237894168526;-0,111968502243451;-0,160359585535951;-0,21452574746754;0,106348555587898;0,0450871579971718;-0,169886753245721;-0,0941828034204143
